中文,English,分类,章节,书页,PDF页,解释,位置,功能,关联图,置信度
X线解剖学,X-ray anatomy,其他,绪论,1,28,运用 X 线摄影技术研究人体形态结构的解剖学称 X 线解剖学 X-ray anatomy。,,,,高
人体解剖学,human anatomy,其他,绪论,1,28,"1 本章数字资源 绪论 一、 人体解剖学的定义和地位 人体解剖学 human anatomy 是研究正常人体形态结构及其发生发展的科学, 属生物科学中的形 态学范畴。",,,,高
外科解剖学,surgical anatomy,其他,绪论,1,28,"其中, 密切联系外科手术的 解剖学称外科解剖学 surgical anatomy。",,,,高
局部解剖学,regional anatomy,其他,绪论,1,28,"我国对 人体解剖学的分科有多种方法, 通常分为系统解剖学和局部解剖学。","我国对 人体解剖学的分科有多种方法, 通常分为系统解剖学和局部解剖学。",,,高
巨视解剖学,macroanatomy,其他,绪论,1,28,"系统解剖学和局部解剖学主要通过肉眼观察来描述人体的形态结构, 统称巨视解剖学macroanatomy。","系统解剖学和局部解剖学主要通过肉眼观察来描述人体的形态结构, 统称巨视解剖学macroanatomy。",,,高
微视解剖学,microanatomy,其他,绪论,1,28,"以显微镜观察为研究手段的组织学、 细胞学、 胚胎学, 称微视解剖学microanatomy。",,,,高
断层解剖学,sectional anatomy,其他,绪论,1,28,研 究人体各局部或器官的断面形态结构的解剖学称断层解剖学 sectional anatomy。,,,,高
神经解剖学,neuroanatomy,神经结构,绪论,1,28,以研究脑 形态与功能为主的解剖学称神经解剖学 neuroanatomy。,,以研究脑 形态与功能为主的解剖学称神经解剖学 neuroanatomy。,,高
系统解剖学,systematic anatomy,其他,绪论,1,28,"我国对 人体解剖学的分科有多种方法, 通常分为系统解剖学和局部解剖学。","我国对 人体解剖学的分科有多种方法, 通常分为系统解剖学和局部解剖学。","系统解剖学 systematic anatomy 是按人体的器官功能系统 ( 如运动系统、 消化系统、 呼吸系统、 泌尿 系统、 生殖系统、 内分泌系统、 脉管系统、 感觉器和神经系统 ) 阐述正常人体器官的形态结构及其生长 发育规律的科学, 是医学生的必修课。",,高
艺术解剖学,art anatomy,其他,绪论,1,28,"研究人体外形轮廓和结构比例, 为绘画造型 奠定基础的解剖学称艺术解剖学 art anatomy。",,,,高
表面解剖学,surface anatomy,其他,绪论,1,28,"联系临床应用, 研究人体表面形态特征的解剖学称表面解剖 学 surface anatomy。",,,,高
运动解剖学,locomotive anatomy,其他,绪论,1,28,"以提高体育运动效 果为目的, 研究体育运动与人体形态结构关系的解剖学称运动解剖学locomotive anatomy。",,"以提高体育运动效 果为目的, 研究体育运动与人体形态结构关系的解剖学称运动解剖学locomotive anatomy。",,高
上,superior,解剖方位,绪论,3,30,人体的基本组织包括上皮组 织、 结缔组织、 肌肉组织和神经组织。,,,绪图-1,高
下,inferior,解剖方位,绪论,3,30,"( 一 ) 解剖学姿势 人体的标准解剖学姿势 anatomical position 是指身体直立, 面向前方, 两眼平视正前方, 两足并拢, 足尖向前, 双上肢下垂于躯干的两侧, 掌心向前。",,,绪图-1,高
内侧,medial,解剖方位,绪论,3,30,内侧 medial 和外侧 lateral 是描述器官或结构距人体正中矢状面相对远近关系的术语。,,,绪图-1,高
前,anterior,解剖方位,绪论,3,30,"( 一 ) 解剖学姿势 人体的标准解剖学姿势 anatomical position 是指身体直立, 面向前方, 两眼平视正前方, 两足并拢, 足尖向前, 双上肢下垂于躯干的两侧, 掌心向前。",,,绪图-1,高
后,posterior,解剖方位,绪论,3,30,"此后, 解剖学在我国逐步发展为一门独 立的学科。","此后, 解剖学在我国逐步发展为一门独 立的学科。",,绪图-1,高
外侧,lateral,解剖方位,绪论,3,30,内侧 medial 和外侧 lateral 是描述器官或结构距人体正中矢状面相对远近关系的术语。,,,绪图-1,高
解剖学姿势,anatomical position,其他,绪论,3,30,"五、 解剖学姿势、 方位术语与人体的轴和面 人体各部与器官结构的位置关系不是恒定不变的, 为了准确描述人体各器官的形态结构和位置, 需要有公认的标准和规范的描述, 以便统一认识, 避免混淆与理解错误。",,,绪图-1,高
内,internal,解剖方位,绪论,4,31,4 绪论 内 internal 和外 external 是描述体腔或空腔器官相互位置关系的术语。,,,"绪图-1, 绪图-2",高
垂直轴,vertical axis,解剖方位,绪论,4,31,"1. 轴 (1) 垂直轴 vertical axis: 为上自头侧, 下至尾侧 并与地平面 ( 水平面 ) 相垂直的轴。",,,"绪图-1, 绪图-2",高
外,external,解剖方位,绪论,4,31,4 绪论 内 internal 和外 external 是描述体腔或空腔器官相互位置关系的术语。,,,"绪图-1, 绪图-2",高
尺侧,ulnar,其他,绪论,4,31,"上肢的尺侧 ulnar 和桡侧 radial、 下肢的胫侧tibial 和腓侧 fibular 分别与其内侧和外侧相对应, 是根据前 臂桡骨、 尺骨和小腿胫骨、 腓骨的位置, 描述前臂和小 腿与正中矢状面相对位置的关系术语。",,,"绪图-1, 绪图-2",高
桡侧,radial,其他,绪论,4,31,"上肢的尺侧 ulnar 和桡侧 radial、 下肢的胫侧tibial 和腓侧 fibular 分别与其内侧和外侧相对应, 是根据前 臂桡骨、 尺骨和小腿胫骨、 腓骨的位置, 描述前臂和小 腿与正中矢状面相对位置的关系术语。",,,"绪图-1, 绪图-2",高
浅,superficial,解剖方位,绪论,4,31,浅 superficial 和深 profundal 是描述器官或结构距皮肤表面相对远近的术语。,,,"绪图-1, 绪图-2",高
深,profundal,其他,绪论,4,31,浅 superficial 和深 profundal 是描述器官或结构距皮肤表面相对远近的术语。,,,"绪图-1, 绪图-2",高
矢状轴,sagittal axis,解剖方位,绪论,4,31,"人体可设有互相垂直的 3 种轴, 即垂 直轴、 矢状轴和冠状轴; 依据上述 3 种轴, 人体还可设有 互相垂直的 3 种面, 即矢状面、 冠状面和水平面 ( 绪图 -2 )。",,,"绪图-1, 绪图-2",高
胫侧,tibial,其他,绪论,4,31,"上肢的尺侧 ulnar 和桡侧 radial、 下肢的胫侧tibial 和腓侧 fibular 分别与其内侧和外侧相对应, 是根据前 臂桡骨、 尺骨和小腿胫骨、 腓骨的位置, 描述前臂和小 腿与正中矢状面相对位置的关系术语。",,,"绪图-1, 绪图-2",高
腓侧,fibular,其他,绪论,4,31,"上肢的尺侧 ulnar 和桡侧 radial、 下肢的胫侧tibial 和腓侧 fibular 分别与其内侧和外侧相对应, 是根据前 臂桡骨、 尺骨和小腿胫骨、 腓骨的位置, 描述前臂和小 腿与正中矢状面相对位置的关系术语。",,,"绪图-1, 绪图-2",高
近侧,proximal,解剖方位,绪论,4,31,"近侧 proximal 和远侧 distal 是描述器官或结构距 肢体根部相对远近的术语, 常用于四肢。",,,"绪图-1, 绪图-2",高
远侧,distal,解剖方位,绪论,4,31,"近侧 proximal 和远侧 distal 是描述器官或结构距 肢体根部相对远近的术语, 常用于四肢。",,,"绪图-1, 绪图-2",高
冠状轴,frontal axis,解剖方位,绪论,5,32,"绪论 5 (3) 冠状轴 frontal axis: 为左、 右方向, 与水平面平行, 与前两个轴相垂直的轴。",,,,高
冠状面,frontal plane,解剖方位,绪论,5,32,"(2) 冠状面 fron tal plane: 是指左、 右方向, 将人体分为前、 后两部的剖面, 该切面与水平面及矢状 面互相垂直。",,,,高
